row_id,order_id,product_id,customer_id,sales,quantity,discount,profit
2698,CA-2014-145317,TEC-MA-10002412,SM-20320,22638.48,6,0.5,-1811.0784
6827,CA-2016-118689,TEC-CO-10004722,TC-20980,17499.95,5,0.0,8399.976
8154,CA-2017-140151,TEC-CO-10004722,RB-19360,13999.96,4,0.0,6719.9808
2624,CA-2017-127180,TEC-CO-10004722,TA-21385,11199.968,4,0.2,3919.9888
4191,CA-2017-166709,TEC-CO-10004722,HL-15040,10499.97,3,0.0,5039.9856
9040,CA-2016-117121,OFF-BI-10000545,AB-10105,9892.74,13,0.0,4946.37
4099,CA-2014-116904,OFF-BI-10001120,SC-20095,9449.95,5,0.0,4630.4755
4278,US-2016-107440,TEC-MA-10001047,BS-11365,9099.93,7,0.0,2365.9818
8489,CA-2016-158841,TEC-MA-10001127,SE-20110,8749.95,5,0.0,2799.984
6426,CA-2016-143714,TEC-CO-10004722,CC-12370,8399.976,4,0.4,1119.9968
2506,CA-2014-143917,OFF-SU-10000151,KL-16645,8187.65,5,0.0,327.506
166,CA-2014-139892,TEC-MA-10000822,BM-11140,8159.952,8,0.4,-1359.992
684,US-2017-168116,TEC-MA-10004125,GT-14635,7999.98,4,0.5,-3839.9904
6627,CA-2014-145541,TEC-MA-10001127,TB-21400,6999.96,4,0.0,2239.9872
510,CA-2015-145352,OFF-BI-10003527,CM-12385,6354.95,5,0.0,3177.475
6521,CA-2017-138289,OFF-BI-10004995,AR-10540,5443.96,4,0.0,2504.2216
7667,US-2016-140158,TEC-CO-10001449,DR-12940,5399.91,9,0.0,2591.9568
6341,CA-2017-143112,TEC-MA-10001047,TS-21370,5199.96,4,0.0,1351.9896
8859,CA-2017-135909,OFF-BI-10003527,JW-15220,5083.96,5,0.2,1906.485
5885,CA-2016-136301,OFF-SU-10000151,EH-13765,4912.59,3,0.0,196.5036
8991,US-2015-128587,TEC-CO-10003763,HM-14860,4899.93,7,0.0,2302.9671
1086,US-2016-143819,TEC-MA-10003979,KD-16270,4899.93,7,0.0,2400.9657
4219,CA-2017-149881,TEC-MA-10000418,NC-18535,4799.984,2,0.2,359.9988
1804,CA-2017-158379,OFF-SU-10002881,JA-15970,4663.736,7,0.2,-1049.3406
8205,CA-2015-114811,TEC-MA-10000045,KD-16495,4643.8,4,0.0,2229.024
2493,CA-2014-144624,TEC-PH-10002885,JM-15865,4548.81,7,0.0,1228.1787
7819,CA-2016-138478,OFF-BI-10001120,DP-13390,4535.976,3,0.2,1644.2913
7773,CA-2016-108196,TEC-MA-10000418,CS-12505,4499.985,5,0.7,-6599.978
9166,CA-2016-100300,TEC-MA-10000984,MJ-17740,4476.8,4,0.2,503.64
7244,CA-2017-118892,FUR-CH-10002024,TP-21415,4416.174,9,0.3,-630.882
9742,CA-2015-117086,FUR-BO-10004834,QJ-19255,4404.9,5,0.0,1013.127
4298,CA-2017-129021,TEC-PH-10001459,PO-18850,4367.896,13,0.2,327.5922
354,CA-2016-129714,OFF-BI-10004995,AB-10060,4355.168,4,0.2,1415.4296
9271,US-2017-102183,OFF-BI-10001359,PK-19075,4305.552,6,0.2,1453.1238
9640,CA-2015-116638,FUR-TA-10000198,JH-15985,4297.644,13,0.4,-1862.3124
5918,US-2015-126977,FUR-BO-10004834,PF-19120,4228.704,6,0.2,158.5764
3281,CA-2014-102988,OFF-SU-10002881,GM-14695,4164.05,5,0.0,83.281
6621,US-2017-167402,OFF-SU-10002881,CP-12085,4164.05,5,0.0,83.281
6015,CA-2016-159016,TEC-PH-10002885,KF-16285,4158.912,8,0.2,363.9048
6536,CA-2014-128209,FUR-BO-10002213,GT-14710,4007.84,10,0.2,-50.098
